"","name","group","type","category","valuetype","default","min","max","Dislich2018","comment_D2018","model2018","comment_m2018"
"197","gr-field-size-mean-ha","parameter","global","LGRaf","numeric","0.49",NA,NA,0.49,"",NA,""
"198","gr-field-size-sd-ha","parameter","global","LGRaf","numeric","0.77",NA,NA,0.77,"",NA,""
"199","gr-change-strategy","parameter","global","LGRaf","numeric","2",NA,NA,NA,"",NA,""
"200","gr-s1.homebase","parameter","global","LGRaf","boolean","TRUE",NA,NA,NA,"",NA,""
"201","gr-s2.fields","parameter","global","LGRaf","boolean","TRUE",NA,NA,NA,"",NA,""
"202","gr-s3.nearby","parameter","global","LGRaf","boolean","TRUE",NA,NA,NA,"",NA,""
"203","gr-s4.avoid","parameter","global","LGRaf","boolean","TRUE",NA,NA,NA,"",NA,""
"204","gr-set-field-strategies-by-id?","parameter","global","LGRaf","boolean","FALSE",NA,NA,NA,"",NA,""
"205","gr-field-strategies-id","parameter","global","LGRaf","numeric","7",NA,NA,NA,"",NA,""
"206","gr-LUT-fill-up","parameter","global","LGRaf","string","""LUT-1-fraction""",NA,NA,NA,"",NA,""
"207","gr-land-use-types","parameter","global","LGRaf","string","""household-level-specialization""",NA,NA,NA,"",NA,""
"208","gr-LUT-0-fraction","parameter","global","LGRaf","numeric","0.5",NA,NA,0.5,"",NA,""
"209","gr-LUT-1-fraction","parameter","global","LGRaf","numeric","0.5",NA,NA,0.5,"",NA,""
"210","gr-LUT-2-fraction","parameter","global","LGRaf","numeric","0",NA,NA,NA,"",NA,""
"211","gr-LUT-3-fraction","parameter","global","LGRaf","numeric","0",NA,NA,NA,"",NA,""
"212","gr-LUT-4-fraction","parameter","global","LGRaf","numeric","0",NA,NA,NA,"",NA,""
"213","gr-LUT-0-specialize","parameter","global","LGRaf","numeric","0",NA,NA,NA,"",NA,""
"214","gr-LUT-1-specialize","parameter","global","LGRaf","numeric","0",NA,NA,NA,"",NA,""
"215","gr-LUT-2-specialize","parameter","global","LGRaf","numeric","0",NA,NA,NA,"",NA,""
"216","gr-LUT-3-specialize","parameter","global","LGRaf","numeric","0",NA,NA,NA,"",NA,""
"217","gr-LUT-4-specialize","parameter","global","LGRaf","numeric","0",NA,NA,NA,"",NA,""
"218","gr-default.maps","parameter","global","LGRaf","string","""forestcluster""",NA,NA,NA,"",NA,""
"219","gr-write-household-ids","parameter","global","LGRaf","string","""layered-files""",NA,NA,NA,"",NA,""
"220","ticks","variable","global","global","numeric",NA,NA,NA,NA,"",NA,""
"221","lut0.carbon","variable","global","carbon","numeric",NA,NA,NA,NA,"",NA,""
"222","lut1.carbon","variable","global","carbon","numeric",NA,NA,NA,NA,"",NA,""
"223","p.carbon.total.mean","variable","global","carbon_ncinv","numeric",NA,NA,NA,NA,"",NA,""
"224","p.carbon.soil.mean","variable","global","carbon_ncinv","numeric",NA,NA,NA,NA,"",NA,""
"225","p.carbon.dead.mean","variable","global","carbon_ncinv","numeric",NA,NA,NA,NA,"",NA,""
"226","p.carbon.above.mean","variable","global","carbon_ncinv","numeric",NA,NA,NA,NA,"",NA,""
"227","p.carbon.below.mean","variable","global","carbon_ncinv","numeric",NA,NA,NA,NA,"",NA,""
"228","p.carbon.total.min","variable","global","carbon_ncinv","numeric",NA,NA,NA,NA,"",NA,""
"229","p.carbon.total.max","variable","global","carbon_ncinv","numeric",NA,NA,NA,NA,"",NA,""
"230","p.carbon.total.sd","variable","global","carbon_ncinv","numeric",NA,NA,NA,NA,"",NA,""
"231","lut0.price","variable","global","prices","numeric",NA,NA,NA,NA,"",NA,""
"232","lut1.price","variable","global","prices","numeric",NA,NA,NA,NA,"",NA,""
"233","lut0.fraction","variable","global","landscape","numeric",NA,NA,NA,NA,"",NA,""
"234","lut1.fraction","variable","global","landscape","numeric",NA,NA,NA,NA,"",NA,""
"235","area.under.agriculture","variable","global","landscape","numeric",NA,NA,NA,NA,"",NA,""
"236","lut0.yield.sum","variable","global","production","numeric",NA,NA,NA,NA,"",NA,""
"237","lut1.yield.sum","variable","global","production","numeric",NA,NA,NA,NA,"",NA,""
"238","lut0.yield.mean","variable","global","production","numeric",NA,NA,NA,NA,"",NA,""
"239","lut1.yield.mean","variable","global","production","numeric",NA,NA,NA,NA,"",NA,""
"240","hh.count","variable","global","household","numeric",NA,NA,NA,NA,"",NA,""
"241","hh.area.sum","variable","global","household","numeric",NA,NA,NA,NA,"",NA,""
"242","hh.area.mean","variable","global","household","numeric",NA,NA,NA,NA,"",NA,""
"243","hh.consumption.sum","variable","global","household","numeric",NA,NA,NA,NA,"",NA,""
"244","hh.consumption.mean","variable","global","household","numeric",NA,NA,NA,NA,"",NA,""
"245","hh.lut0.ineff.mean","variable","global","household","numeric",NA,NA,NA,NA,"",NA,""
"246","hh.lut1.ineff.mean","variable","global","household","numeric",NA,NA,NA,NA,"",NA,""
"247","abandoned.land","variable","global","landmarket","numeric",NA,NA,NA,NA,"",NA,""
"248","lm.seller.wealth","variable","global","landmarket","numeric",NA,NA,NA,NA,"",NA,""
"249","lm.buyer.wealth","variable","global","landmarket","numeric",NA,NA,NA,NA,"",NA,""
"250","lm.seller.area","variable","global","landmarket","numeric",NA,NA,NA,NA,"",NA,""
"251","lm.buyer.area","variable","global","landmarket","numeric",NA,NA,NA,NA,"",NA,""
"252","lm.seller.lut0.ineff","variable","global","landmarket","numeric",NA,NA,NA,NA,"",NA,""
"253","lm.buyer.lut0.ineff","variable","global","landmarket","numeric",NA,NA,NA,NA,"",NA,""
"254","lm.seller.lut1.ineff","variable","global","landmarket","numeric",NA,NA,NA,NA,"",NA,""
"255","lm.buyer.lut1.ineff","variable","global","landmarket","numeric",NA,NA,NA,NA,"",NA,""
"256","hh.count.immigrant","variable","global","landmarket","numeric",NA,NA,NA,NA,"",NA,""
